ChEMBLID,SMILES,pValue,StandType,grappolo
CHEMBL254901,Cc1cccc(C[C@H](NC(=O)N2CCN(C)CC2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)c1,5.48,Ki,Cz
CHEMBL261723,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CO)OCc1ccccc1,6.84,Ki,Cz
CHEMBL261725,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CS)OCc1ccccc1,8.36,Ki,Cz
CHEMBL261812,CC(C)(C)OC(=O)NCc1nnc(S(=O)(=O)Cc2ccc(Cl)cc2Cl)o1,4.02,IC50,Cz
CHEMBL409024,N[C@@H](Cc1cc(-c2ccc(Cl)cc2Cl)cc(CP(=O)(O)O)c1O)C(=O)O,4.11,IC50,Cz
CHEMBL259139,O=C(CC1(O)C(=O)Nc2cc(Cl)cc(Cl)c21)c1ccccc1O,4.14,IC50,Cz
CHEMBL404954,S=C([S-])OC1CC2CC1C1CCCC21.[K+],4.82,IC50,Cz
CHEMBL6246,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,4.19,IC50,Cz
CHEMBL275938,O=C(O)C1=CC(=C(c2ccc(O)c(C(=O)O)c2)c2ccc(O)c(C(=O)O)c2)C=CC1=O,4.28,IC50,Cz
CHEMBL261208,C[C@H]1[C@H]2C=C[C@@H]1[C@@H](C(=O)O)[C@@H]2c1c2ccc(=O)c(O)c-2oc2c(O)c(O)ccc12,4.02,IC50,Cz
CHEMBL258670,O=C1C=CC2=C(Oc3c(ccc(O)c3O)/C2=C\C=C(O)O)C1=O,4.02,IC50,Cz
CHEMBL259018,CC(C)(C)OC(=O)NCCc1nnc(S(=O)(=O)Cc2ccc(Cl)cc2Cl)o1,4.02,IC50,Cz
CHEMBL406555,O=C(Oc1cccnc1)c1cc2ccccc2oc1=O,4.16,IC50,Cz
