ChEMBLID,pValue,grappolo,SlogP,TPSA,ExactMW,NumRotatableBonds,NumHBD,NumHBA,NumAromaticRings,FractionCSP3
CHEMBL563886,7.2,hCatL,1.61678,99.81,373.130552560001,9,2,5,2,0.333333333333333
CHEMBL562462,7.1,hCatL,2.17778,99.81,387.146202624001,10,2,5,2,0.368421052631579
CHEMBL564131,7.9,hCatL,2.35188,99.81,401.161852688001,7,2,5,2,0.4
CHEMBL565079,7.9,hCatL,2.0069,99.81,381.216475104001,8,2,5,2,0.428571428571429
CHEMBL560736,6.3,hCatL,2.06798,99.81,387.169524912001,8,2,5,3,0.181818181818182
CHEMBL559248,5.5,hCatL,2.06798,99.81,387.169524912001,8,2,5,3,0.181818181818182
CHEMBL556504,5.8,hCatL,2.72948,94.88,384.158625880001,7,2,4,3,0.130434782608696
CHEMBL550059,5.7,hCatL,2.72948,94.88,384.158625880001,7,2,4,3,0.130434782608696
CHEMBL551533,5.4,hCatL,2.12448,107.77,385.153874848001,7,2,5,3,0.136363636363636
CHEMBL563471,7.8,hCatL,2.09898,117.63,447.238273168001,9,2,7,3,0.375
CHEMBL561802,6.1,hCatL,2.05758,110.67,373.153874848001,7,3,4,3,0.142857142857143
CHEMBL563056,5.8,hCatL,2.05758,110.67,373.153874848001,7,3,4,3,0.142857142857143
CHEMBL556434,5.5,hCatL,2.72948,94.88,384.158625880001,7,2,4,3,0.130434782608696
CHEMBL556436,5.9,hCatL,2.12448,107.77,385.153874848001,7,2,5,3,0.136363636363636
CHEMBL564626,6.3,hCatL,1.71748,120.91,375.133139404001,7,2,6,3,0.15
CHEMBL559880,6.7,hCatL,2.18598,107.77,391.110295784,7,2,6,3,0.15
CHEMBL562915,7.8,hCatL,1.74848,138.73,435.201887660001,8,2,8,3,0.363636363636364
CHEMBL549378,8.3,hCatL,2.21698,125.59,451.179044040001,8,2,8,3,0.363636363636364
CHEMBL550872,8.3,hCatL,2.0569,138.73,449.217537724001,9,2,8,3,0.391304347826087
CHEMBL562844,6.9,hCatL,2.5254,125.59,465.194694104001,9,2,8,3,0.391304347826087
CHEMBL554065,8.4,hCatL,1.89488,147.96,479.228102408001,11,2,9,3,0.416666666666667
CHEMBL549791,8.2,hCatL,1.24078,158.96,465.212452344001,10,3,9,3,0.391304347826087
CHEMBL557455,8.7,hCatL,1.20718,164.75,464.228436756001,10,3,9,3,0.391304347826087
CHEMBL555122,8.9,hCatL,1.24968,164.75,478.244086820001,11,3,9,3,0.416666666666667
CHEMBL569190,6.72,hCatL,3.84078,115.44,423.180758292001,8,3,7,5,0.166666666666667
CHEMBL570364,6.4,hCatL,3.31788,128.75,441.191322976001,10,3,8,4,0.208333333333333
CHEMBL584314,6.34,hCatL,3.84078,115.44,423.180758292001,8,3,7,5,0.166666666666667
CHEMBL497237,6.32,hCatL,3.42098,99.65,390.126280196001,8,2,8,4,0.2
CHEMBL497435,6.22,hCatL,2.95248,112.79,374.149123816001,8,2,8,4,0.2
CHEMBL566094,6.16,hCatL,4.01288,99.65,418.130886908001,8,2,7,4,0.181818181818182
CHEMBL524619,6.1,hCatL,3.35948,99.65,384.169859260001,8,2,7,4,0.181818181818182
CHEMBL496404,6.1,hCatL,3.14608,125.95,442.175338564001,10,2,9,4,0.208333333333333
CHEMBL497234,6.1,hCatL,4.51268,99.65,434.185509324001,8,2,7,5,0.153846153846154
CHEMBL497235,6.08,hCatL,2.95248,112.79,374.149123816001,8,2,8,4,0.2
CHEMBL495016,6.05,hCatL,4.66628,99.65,452.091914556001,8,2,7,4,0.181818181818182
CHEMBL525165,6.05,hCatL,3.42098,99.65,390.126280196001,8,2,8,4,0.2
CHEMBL569883,6.05,hCatL,4.48288000000001,99.65,426.216809452001,11,2,7,4,0.28
CHEMBL582971,6,hCatL,4.55118000000001,138.72,563.173958660001,10,2,10,6,0.133333333333333
CHEMBL576484,6,hCatL,3.97632,99.65,412.201159388001,10,2,7,4,0.25
CHEMBL497019,5.96,hCatL,4.00248,99.65,410.185509324001,9,2,7,4,0.166666666666667
CHEMBL524075,5.96,hCatL,3.36808,108.88,414.180423944001,10,2,8,4,0.217391304347826
CHEMBL521904,5.96,hCatL,3.6679,99.65,398.185509324001,9,2,7,4,0.217391304347826
CHEMBL497620,5.89,hCatL,4.90918000000001,108.88,520.122236140001,12,2,8,4,0.28
CHEMBL495803,5.85,hCatL,3.42548,102.89,427.212058420001,11,2,8,4,0.25
CHEMBL571276,5.85,hCatL,3.14608,125.95,442.175338564001,10,2,9,4,0.208333333333333
CHEMBL571711,5.82,hCatL,4.37828,99.65,452.157243888001,8,2,7,4,0.217391304347826
CHEMBL497018,5.82,hCatL,4.00248,99.65,410.185509324001,9,2,7,4,0.166666666666667
CHEMBL495017,5.8,hCatL,4.66628,99.65,452.091914556001,8,2,7,4,0.181818181818182
CHEMBL524810,5.8,hCatL,2.75448,112.54,385.165108228001,8,2,8,4,0.19047619047619
CHEMBL571938,5.75,hCatL,3.14608,125.95,442.175338564001,10,2,9,4,0.208333333333333
CHEMBL574590,5.75,hCatL,4.55118000000001,138.72,563.173958660001,10,2,10,6,0.133333333333333
CHEMBL523733,5.72,hCatL,4.01288,99.65,418.130886908001,8,2,7,4,0.181818181818182
CHEMBL569173,5.57,hCatL,4.05498,99.65,474.122750200001,8,2,7,4,0.181818181818182
CHEMBL571269,5.22,hCatL,2.16668,143.89,446.181486564001,12,2,11,4,0.272727272727273
CHEMBL565244,4.8,hCatL,4.01288,99.65,418.130886908001,8,2,7,4,0.181818181818182
CHEMBL567785,6.51,hCatL,3.49478,86.52,314.10467216,4,2,6,2,0.333333333333333
CHEMBL568171,6.69,hCatL,3.11958,86.52,316.124800888,4,2,6,2,0.333333333333333
CHEMBL567341,6.93,hCatL,2.73968,79.42,300.09350076,4,1,6,3,0.142857142857143
CHEMBL578159,5.1,hCatL,2.98488,79.42,336.074657136,4,1,6,3,0.142857142857143
CHEMBL567134,6.25,hCatL,2.39718,79.42,300.09350076,4,1,6,3,0.142857142857143
CHEMBL609013,5.06,hCatL,3.52112,57.37,278.105527688,3,1,4,3,0.117647058823529
CHEMBL594178,4.87,hCatL,3.138,83.67,322.095356928,4,1,6,3,0.111111111111111
CHEMBL594179,5.39,hCatL,3.4003,86.33,410.147786424001,4,1,6,1,0.272727272727273
CHEMBL595127,4.4,hCatL,3.6888,86.33,426.179086552001,8,1,6,1,0.304347826086957
CHEMBL596442,5.16,hCatL,1.8343,74.02,310.095356928,4,1,5,1,0.117647058823529
CHEMBL594622,5.11,hCatL,2.6217,86.33,382.116486296,6,1,6,1,0.2
CHEMBL594623,5.68,hCatL,3.8999,106.2,471.143035392001,7,2,6,2,0.115384615384615
CHEMBL596265,6.07,hCatL,4.4192,89.13,475.120191772001,7,2,6,2,0.12
CHEMBL603639,5.38,hCatL,5.26360000000001,74.02,478.189257312001,10,1,5,3,0.1
CHEMBL589280,7.52,hCatL,3.1738,50.41,350.984108672,3,2,2,2,0
CHEMBL605796,5.79,hCatL,3.6881,50.41,366.954558132,3,2,2,2,0
CHEMBL602897,5.58,hCatL,3.7972,50.41,410.904042552,3,2,2,2,0
CHEMBL605998,6.6,hCatL,3.1738,50.41,350.984108672,3,2,2,2,0
CHEMBL606452,6.88,hCatL,3.6881,50.41,366.954558132,3,2,2,2,0
CHEMBL601890,7.33,hCatL,4.0535,50.41,400.980915112,3,2,2,2,0.0666666666666667
CHEMBL602092,6.65,hCatL,3.34312,50.41,347.009180548,4,2,2,2,0.0666666666666667
CHEMBL602093,7.1,hCatL,3.1738,50.41,350.984108672,3,2,2,2,0
CHEMBL602094,6.49,hCatL,3.6881,50.41,366.954558132,3,2,2,2,0
CHEMBL601643,6.28,hCatL,4.0535,50.41,400.980915112,3,2,2,2,0.0666666666666667
CHEMBL590497,5.67,hCatL,3.34312,50.41,347.009180548,4,2,2,2,0.0666666666666667
CHEMBL601644,7.08,hCatL,3.3129,50.41,368.97468686,3,2,2,2,0
